reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,cleaned_content,sentiment_score,sentiment
c373ed74-5498-41b3-9e4e-0e9d633600c4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Buruk ketika cari driver saat hujan.. Susah minta ampun padahal mobil,3,0,5.13.1,2025-03-14 14:02:24,"Mohon maaf atas ketidaknyamanannya, Kak @Blackjack 0810. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Maura",2025-03-14 14:31:26,5.13.1,buruk ketika cari driver saat hujan susah minta ampun padahal mobil,0.0,netral
e255bc1f-8fc1-49ed-bbc1-d39e4e77698f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mantap bgt,5,0,5.13.1,2025-03-14 13:49:19,,,5.13.1,mantap bgt,0.0,netral
709bad8e-f978-45f8-8e51-ee1fc81833bc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Semoga benar berita nya PT.GOJEK INDONESIA mau membagikan THR utk kita smua yg sdh menjaga CITRA & NAMA BAIK PT.GOJEK INDONESIA. gw sujud syukur klu bnr ada nya berita pembagian THR..,5,0,5.13.1,2025-03-14 13:45:07,,,5.13.1,semoga benar berita nya ptgojek indonesia mau membagikan thr utk kita smua yg sdh menjaga citra  nama baik ptgojek indonesia gw sujud syukur klu bnr ada nya berita pembagian thr,0.0,netral
36421e91-a3d2-4c45-9113-e296976997be,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi jelek. Ada gopay pinjam atau gopay later penagihannya jelek. Uninstall aja,1,0,5.13.1,2025-03-14 13:37:17,"Hai Kak Carolus, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan terkait layanan GoPay Pinjam, silakan ceritakan lebih lanjut kepada kami melalui email ke support@findaya.com. ^Maura",2025-03-14 14:01:42,5.13.1,aplikasi jelek ada gopay pinjam atau gopay later penagihannya jelek uninstall aja,0.0,netral
ea636093-bf6a-4774-a750-5f24a734b09e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat mudah diakses dlm satu genggaman,5,0,4.96.2,2025-03-14 13:25:34,,,4.96.2,sangat mudah diakses dlm satu genggaman,0.0,netral
21833aed-2d36-4dc7-84c5-1d36a8052122,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bagus,5,0,,2025-03-14 13:14:45,,,,bagus,0.0,netral
1bf8885c-6274-44ac-97dd-6e93f1e712d7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,udah beli gojek plus tetap mahal anj,1,0,5.13.1,2025-03-14 13:00:29,"Mohon maaf atas ketidaknyamanannya, Kak @mos. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Maura",2025-03-14 13:31:46,5.13.1,udah beli gojek plus tetap mahal anj,0.0,netral
53d58624-94b9-490d-9a16-7fcfa133e85d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi bagus..tingkatkan promo harganya,5,0,5.13.1,2025-03-14 12:54:53,,,5.13.1,aplikasi bagustingkatkan promo harganya,0.0,netral
4f08508e-ffa9-4403-9968-c92dc4dff695,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Buruk,1,0,5.14.2,2025-03-14 12:50:20,"Hai Kak Zaenudin, terima kasih atas ulasanmu. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Maura",2025-03-14 13:12:30,5.14.2,buruk,0.0,netral
7a91d9d2-74e2-4d46-8014-1d847ac43059,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mantaf,5,0,5.13.1,2025-03-14 12:43:14,,,5.13.1,mantaf,0.0,netral
